element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Mo	1	"352.1412"	"0.0010"	"352.14125+"	"0.00018"	"657"	"6.1e+07"	B	"2.4992489"	"6.0191080"	"4d5.(4D).5s"	"b 5D"	"4"	"4d4.5s.(4D).5p"	"u 5F*"	"5"		"T5293"	"L10250"	
Co	1	"352.157"	"0.010"	"352.1567"	"0.0010"	"2700"	"1.8e+07"	C+	"0.431815"	"3.951519"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2F*"	"7/2"		"T4223"	"L3475"	
V	2	"352.18331"	"0.00013"	"352.18341"	"0.00003"	"7600"	"1.24e+07"	B	"2.2755849"	"5.79502267"	"3d4"	"a 3D"	"3"	"3d3.(4P).4p"	"z 3P*"	"2"		"T9616n"	"L18516"	
Fe	1	"352.18366"	"0.00010"	"352.183719"	"0.000018"	"2510"	"3.51e+06"	C+	"2.22271209"	"5.74214676"	"3d7.(4P).4s"	"a 5P"	"1"	"3d7.(4P).4p"	"w 5P*"	"2"		"T5720"	"L11631"	
W	1	"352.1907"	"0.0010"	"352.1910"	"0.0009"	"40"	"5.7e+06"	C	"1.655011"	"5.174373"	"5d4.6s2"	"3G"	"3"	""	"*"	"2"		"T6977"	"L153"	
Fe	1	"352.22678"	"0.00010"	"352.226790"	"0.000018"	"3800"	"5.03e+06"	B	"2.83252676"	"6.35153108"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"5"	"3d6.(5D).4s (6D).4d"	"e 7G"	"5"		"T5720"	"L11631"	
S	6	""	""	"352.2+"	"1.2"	""	"1.24e+07"	B+	"76.02696"	"[79.546]"	"2p6.7s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"T7942c84"	""	
N	5	""	""	"352.268"	"0.010"	""	"1.04e+07"	B	"[90.88083]"	"[94.39942]"	"1s2.7p"	"2P*"	"1/2"	"1s2.10s"	"2S"	"1/2"		"T3225LS"	""	
Nb	4	"352.2702"	"0.0005"	"352.2703"	"0.0006"	"15000"	"3.6e+07"	C+	"27.661977"	"31.180547"	"4d.6d"	"3G"	"5"	"4d.6f"	"3G*"	"5"		"T2192"	"L12094"	
Fe	1	"352.28973"	"0.00019"	"352.289932"	"0.000018"	"1230"	"3.51e+06"	C+	"2.87550352"	"6.39387714"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 7S"	"3"		"T5720"	"L11631"	
Hf	1	"352.3025"	"0.0004"	"352.302351"	"0.000010"	"62000"	"1.46e+07"	B+	"0.29219054"	"3.81044013"	"5d2.6s2"	"a 3F"	"3"	"5d2.(a 3F).6s.(a 4F).6p"	"y 3F*"	"4"		"T5346"	"L21976,L16323"	
V	2	"352.3118"	"0.0007"	"352.31113"	"0.00022"	"990"	"1.5e+07"	C	"6.3172103"	"9.8353722"	"3d4"	"e 1D1"	"2"	"3d3.(2D1).4p"	"u 1F*"	"3"		"T9770"	"L10089c179"	
Fe	1	"352.33084"	"0.00010"	"352.33084"	"0.00003"	"1480"	"1.06e+07"	C+	"2.87550352"	"6.39346861"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 7G"	"1"		"T5720"	"L11631"	
N	5	""	""	"352.341"	"0.010"	""	"2.08e+07"	B	"[90.88156]"	"[94.39942]"	"1s2.7p"	"2P*"	"3/2"	"1s2.10s"	"2S"	"1/2"		"T3225LS"	""	
Mn	1	""	""	"352.3538"	"0.0010"	""	"2.8e+04"	C	"2.178214"	"5.695949"	"3d6.(5D).4s"	"a 6D"	"3/2"	"3d6.(5D).4p"	"z 4D*"	"5/2"		"T3623n"	""	
Fe	1	"352.42395"	"0.00004"	"352.423938"	"0.000018"	"10000"	"5.04e+06"	B	"2.27860466"	"5.79564049"	"3d6.4s2"	"a 3P2"	"2"	"3d7.(4P).4p"	"u 5D*"	"3"		"T5720"	"L11631"	
Ni	1	"352.454"	"0.010"	"352.4536"	"0.0010"	"8200"	"1.0e+08"	C	"0.0253904"	"3.5421297"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).4p"	"3P*"	"2"		"T3861,T4812"	"L3475"	
Mo	1	"352.4646"	"0.0010"	"352.46462+"	"0.00018"	"190*"	"3.10e+07"	B	"2.2759148"	"5.7925447"	"4d5.(4P).5s"	"a 5P"	"2"	""	"7*"	"1"		"T5293"	"L10250,L3475"	
V	2	"352.471603"	"0.000022"	"352.471608"	"0.000011"	"24000"	"8.0e+06"	B	"1.09627457"	"4.61283474"	"3d3.(4F).4s"	"a 3F"	"3"	"3d3.(4F).4p"	"z 3D*"	"3"		"T9616n"	"L18516"	
Al	3	""	""	"352.4869"	"0.0010"	""	"1.07e+06"	B+	"23.417834"	"26.934242"	"2p6.5d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"5/2"		"c32"	""	
Al	3	""	""	"352.4869"	"0.0010"	""	"1.61e+07"	A	"23.417834"	"26.934242"	"2p6.5d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"7/2"		"c32"	""	
Al	3	""	""	"352.4950"	"0.0010"	""	"1.50e+07"	A	"23.417915"	"26.934242"	"2p6.5d"	"2D"	"3/2"	"2p6.9f"	"2F*"	"5/2"		"c32"	""	
Mo	1	"352.4975"	"0.0010"	"352.49757+"	"0.00018"	"240*"	"2.25e+07"	B	"2.2601268"	"5.7764280"	"4d5.(4P).5s"	"a 5P"	"3"	""	"6*"	"4"		"T5293"	"L10250,L3475"	
Si	3	"352.594"	"0.010"	"352.5939"	"0.0010"	"9"	"2.48e+07"	C+	"26.598599"	"30.113939"	"3s.5p"	"1P*"	"1"	"3p.4p"	"1P"	"1"		"T6298c4"	"L4833"	
Fe	1	"352.60406"	"0.00004"	"352.604056"	"0.000018"	"339000"	"1.14e+06"	B	"0.08728574"	"3.60252504"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s.4p.(3P*)"	"z 5P*"	"3"		"T5720"	"L11631"	
F	6	""	""	"352.61"	"0.10"	""	"1.54e+06"	B	"108.1246"	"111.6398"	"1s2.2p.3s"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"1"		"T5633c91,LS"	""	
Fe	1	"352.61656"	"0.00004"	"352.616556"	"0.000018"	"100000"	"4.14e+06"	B+	"0.95815732"	"4.47327202"	"3d7.(4F).4s"	"a 5F"	"3"	"3d7.(4F).4p"	"z 3G*"	"3"		"T5720"	"L11631"	
Fe	1	"352.62377"	"0.00004"	"352.623782"	"0.000018"	"9100"	"1.70e+07"	B+	"2.86539125"	"6.38043390"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"3"	"3d6.(5D).4s (6D).4d"	"f 5F"	"4"		"T5720"	"L11631"	
Fe	1	"352.63811"	"0.00004"	"352.638112"	"0.000018"	"17000"	"4.13e+07"	B+	"2.86539125"	"6.38029108"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"3"	"3d6.(5D).4s (6D).4d"	"e 7G"	"3"		"T5720"	"L11631"	
Fe	1	"352.64672"	"0.00004"	"352.646707"	"0.000018"	"20000"	"1.29e+07"	B	"2.27860466"	"5.79341882"	"3d6.4s2"	"a 3P2"	"2"	"3d6.(3P2).4s.4p.(3P*)"	"y 3P*"	"2"		"T5720"	"L11631"	
Nb	4	"352.6548"	"0.0005"	"352.6561"	"0.0013"	"35000"	"4.1e+07"	C+	"24.196664"	"27.711385"	"4d.6p"	"3P*"	"0"	"4d.6d"	"3S"	"1"		"T2192"	"L12094"	
C	5	""	""	"352.6586"	"0.0010"	""	"1.663e+07"	AA	"(304.387768)"	"(307.9024628)"	"1s.2s"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T5997"	""	
Fe	1	"352.66743"	"0.00004"	"352.667458"	"0.000018"	"15100"	"5.26e+07"	B+	"2.87550352"	"6.39011087"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	"3d6.(5D).4s (6D).4d"	"e 7G"	"2"		"T5720"	"L11631"	
Co	1	"352.685"	"0.010"	"352.6844"	"0.0010"	"6400"	"1.3e+07"	C	"0.000000"	"3.514439"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"9/2"		"T4223"	"L3475"	
W	1	"352.6850"	"0.0010"	"352.6854"	"0.0009"	"30"	"2.7e+06"	C	"1.655011"	"5.169439"	"5d4.6s2"	"3G"	"3"	""	"*"	"3"		"T6977"	"L153"	
Ac	2	"352.7310"	"0.0006"	"352.73065"	"0.00025"	"31000"	"4.63e+07"	C+	"1.6411067"	"5.155084"	"6d2"	"3F"	"2"	"5f.6d"	"3F*"	"2"		"T10463"	"L7344"	
