Spektrum Sampel: S7
Segment Size: 200.0 nm

Puncak terpilih:
W 1 396.175600 nan
W 1 396.859000 C
Hf 1 394.416000 nan
Fe 1 288.180500 nan
V 1 309.285000 nan
Fe 1 279.553980 B
Tc 1 393.370500 nan
Nd 2 390.589000 B
Eu 2 280.284000 nan
Pm 2 382.053000 nan
Mn 2 373.513300 nan
Th 1 374.961816 nan
Ca 2 375.839000 nan
Th 2 382.602140 nan
W 2 251.627090 nan
Pd 1 337.299430 nan
Si 1 263.128200 B
Rb 2 336.137500 nan
Fe 1 374.589930 A
V 1 375.931710 nan
W 1 361.887700 nan
Tb 2 334.942000 nan
Th 1 368.521410 nan
Hf 1 381.606900 nan
Cr 2 275.581870 nan
Fe 1 382.815000 nan
Fe 2 302.075800 nan
Pt 2 338.381200 nan
Ru 1 373.740000 nan
Fe 2 252.862600 nan
Th 1 383.448810 nan
Hg 1 252.420000 nan
Cu 2 376.142700 nan
Dy 2 344.093000 nan
Cr 1 360.910000 nan
U 2 374.868000 nan
La 2 388.637000 C+
Os 1 251.929000 nan
Cu 2 285.217850 nan
Ta 2 273.926000 nan
Hg 1 251.437000 nan
Fe 1 382.455530 nan
W 1 308.241700 nan
Fe 2 274.932126 B+
W 2 258.591640 nan
Fe 2 261.187336 B+
Fe 2 259.939515 B+
Fe 2 262.566685 B+
Fe 1 404.606200 C+
Ar 2 438.375450 B
Mo 1 432.613600 A
Al 2 422.681300 C+
Mn 2 430.815310 C
Tb 2 406.389000 nan
O 2 440.495000 nan
V 1 404.152000 nan
W 1 589.032000 nan
Th 1 589.611400 nan
W 1 777.252000 nan
Th 1 777.517840 nan
