Spektrum Sampel: S3
Segment Size: 10.0 nm

Puncak terpilih:
V 1 284.917170 B+)
V 2 287.768460 B)
V 2 284.757200 A)
Fe 1 284.559450 B)
Fe 1 280.832680 B+)
V 2 289.244110 B+)
V 2 289.056000 C)
V 2 280.917400 nan)
V 1 285.522210 B+)
Fe 2 287.680360 B)
Fe 2 284.788330 C+)
Fe 1 284.871450 B)
V 2 285.433535 A)
Ag 2 281.533114 B+)
Fe 2 281.422700 D+)
Mn 2 284.603600 C)
Fe 1 284.682960 B)
Mo 1 288.660200 B)
V 1 284.656770 nan
V 2 289.056000 C)
V 2 288.715380 C)
V 2 289.163964 B+)
W 1 283.363000 B)
Fe 1 289.503460 B)
Fe 1 283.243530 B+)
Ti 2 283.217531 B+)
Fe 2 285.566730 D+)
V 2 287.568570 B+)
Mo 1 287.654000 C+)
Mn 2 281.456100 D)
Fe 2 285.614710 D+)
V 2 289.560130 C)
Mn 2 287.312800 C)
Ti 2 288.892893 B+)
W 2 287.382880 B)
V 2 288.824020 B)
Mo 1 297.295800 B)
Mg 2 293.650900 A)
V 2 296.671200 C)
Fe 1 297.009920 B+)
V 2 292.401909 B+)
Fe 1 299.951160 C)
Mg 2 292.863400 A)
W 1 293.904700 B)
Fe 2 296.503166 B)
Fe 2 296.539500 D)
V 2 298.120040 B)
Mn 2 293.305400 A+)
Fe 1 298.356950 A)
Fe 1 295.736430 A)
Mn 2 292.739500 B+)
Fe 1 292.589870 B)
Fe 2 298.000100 nan)
V 2 298.275870 D+)
V 2 294.877190 D+)
Mn 2 293.535500 C+)
Fe 2 292.202500 D+)
Fe 2 297.884800 C)
V 2 293.080793 B+)
Mn 2 293.472300 B)
Fe 1 292.961770 C+)
V 2 299.405500 C)
Mn 2 293.377900 B)
V 2 292.644600 B)
Ti 2 293.109620 D)
Mo 1 297.828000 B)
V 2 297.565120 B+)
Rb 1 297.462000 nan)
V 2 296.380630 D)
Mn 2 296.363000 nan)
V 2 297.651770 A)
V 2 291.999330 B+)
Fe 2 291.229870 D)
V 2 293.162070 B)
Mo 1 295.947600 B)
Na 2 298.418600 B)
Na 2 292.094500 A)
V 2 295.365200 D)
