Spektrum Sampel: S1
Segment Size: 200.0 nm

Puncak terpilih:
Ar 2 396.835890 B
Th 2 396.150300 nan
Tc 1 393.370500 nan
Ti 1 279.539900 nan
Cr 1 280.265000 nan
V 1 394.393700 C+
W 1 288.160600 nan
W 1 309.267600 nan
Fe 1 285.201460 nan
Cr 2 390.564390 nan
Th 1 382.032710 nan
V 1 374.937100 C+
Fe 1 373.486360 A
Th 2 382.602140 nan
Rb 2 251.611300 nan
Sm 2 373.714000 nan
Th 2 383.234690 nan
V 1 375.821100 nan
Hf 1 279.798000 nan
Hf 1 383.423000 nan
Xe 1 374.569000 nan
W 2 382.787980 nan
Ce 2 381.585000 B
V 2 263.114810 nan
Fe 2 252.849300 nan
Lu 2 302.054000 nan
Cr 2 337.280420 nan
V 1 388.619300 nan
W 2 252.402010 nan
Th 1 336.119772 nan
W 1 361.887700 nan
Hf 1 334.924000 nan
Rb 2 344.074300 nan
Er 2 275.563000 nan
Th 1 368.521410 nan
Th 2 315.907220 nan
V 2 376.118800 nan
Ta 2 273.926000 nan
W 2 251.912550 nan
Pt 2 338.381200 nan
Fe 1 360.885910 A
Hg 1 251.437000 nan
Th 1 382.928020 nan
Fe 1 259.921700 nan
Sc 1 387.825300 nan
Tc 1 389.982700 nan
Fe 2 274.932126 B+
Fe 2 239.554530 C+
Fe 1 371.993450 A
Cu 2 390.296670 nan
Co 2 261.180570 D
W 1 308.220000 nan
Fe 2 258.576070 D+
Cs 1 388.861141 C+
Fe 2 262.566685 B+
Pr 2 389.171000 nan
Cr 2 238.196700 nan
Bk 2 385.989000 nan
Mg 1 389.557200 B+
V 1 374.337700 nan
Fe 2 249.322359 C+
Sr 1 368.726100 nan
U 1 376.326000 nan
Th 1 398.182800 nan
Ti 1 240.485080 nan
Mn 2 376.376000 nan
Mn 2 293.677000 nan
Fe 1 305.744560 B
Fe 1 358.119280 A
Li 2 250.694000 AAA
Th 1 332.294590 nan
Cr 1 243.498000 nan
U 2 375.266000 nan
Ti 1 374.105970 A
Sc 2 355.853400 B+
Fe 2 256.253531 C+
Mn 2 262.815800 nan
Mn 2 279.086800 D
Th 1 367.997000 nan
W 1 305.893200 nan
Th 1 383.734280 nan
Hf 1 297.305800 nan
Al 1 306.614500 nan
Cr 2 349.039620 nan
Ti 2 326.158450 B+
Na 2 237.332900 nan
Cs 2 261.375010 nan
Hf 2 234.332000 nan
Pm 2 356.531000 nan
Cu 2 260.704100 nan
Hf 1 274.660600 nan
Cr 1 385.627090 nan
Fe 2 259.370776 nan
W 1 249.071800 nan
Fe 2 241.051891 B+
Ne 1 276.728000 nan
Fe 1 347.545000 B
C 2 272.736000 B
Th 2 325.275110 nan
Cs 2 360.683470 nan
V 2 316.839900 nan
Pu 2 296.684000 nan
Th 2 379.942210 nan
Cr 2 239.919600 nan
Th 2 355.482310 nan
Ca 1 387.254000 D
Fe 2 248.319217 nan
Cr 2 266.032460 nan
Mn 2 273.702200 D
Fe 2 323.439600 nan
Fe 2 257.604500 nan
Mg 1 261.751300 nan
Ir 1 302.582000 nan
Fe 1 372.752670 nan
Th 2 317.953100 nan
Sc 1 362.130500 nan
Ti 2 338.027660 C+
V 2 283.531390 nan
V 2 307.292700 nan
Rb 2 284.233300 nan
Zr 2 323.658000 nan
Ce 2 364.775000 nan
Fe 2 321.713700 nan
Th 2 349.768590 nan
Sc 2 310.029500 nan
Re 1 240.670000 nan
Hf 1 323.901000 nan
Th 1 321.393710 nan
Li 1 379.472000 AA
Fe 2 234.814587 C+
Lu 1 254.972000 nan
Th 2 324.855143 nan
W 1 271.890600 B
Fe 1 292.900690 B
Nd 2 372.242000 nan
Mn 2 296.995000 nan
Cr 2 292.380300 nan
Ti 2 324.198253 B+
Al 2 358.691200 nan
Tm 1 327.178100 D
C 2 308.790000 C
Fe 1 342.698770 D+
W 1 307.521800 nan
Fe 2 236.713580 nan
Fe 2 320.235300 nan
Os 1 330.623000 nan
V 1 319.981250 nan
Th 1 365.358600 nan
Hf 1 304.749200 nan
W 1 247.864400 nan
Mn 2 258.239500 nan
Ne 2 319.092000 nan
W 1 300.088200 nan
Pt 1 314.165590 C+
Ho 2 300.810000 nan
Pd 2 249.877690 nan
Fe 1 332.952270 nan
Fe 2 253.883115 nan
Mn 2 266.447000 nan
Tc 2 265.235000 nan
Mo 2 246.181000 nan
W 2 238.852720 nan
Cr 2 269.265720 nan
Cr 1 334.202500 nan
Co 1 346.580000 C
Al 2 422.681300 C+
Fe 1 404.581220 A
Th 1 589.001670 nan
S 2 589.591000 D
Ti 2 430.786570 B+
Th 2 438.344830 nan
Gd 2 406.359000 nan
Nd 2 432.576600 B
Cm 1 404.829000 nan
S 2 440.473000 E
N 2 404.131000 nan
Mg 1 518.360420 A
Ca 1 430.253000 C+
O 2 414.373600 nan
Fe 1 413.197200 nan
W 1 441.507500 nan
Th 1 403.058940 nan
Ti 1 430.573800 nan
V 1 495.765000 C+
Th 2 431.722660 nan
Co 2 517.297550 D
Cr 1 421.531000 nan
Nd 2 401.270000 B+
Mn 1 403.307000 C+
Fe 1 493.400490 nan
Fe 1 427.176020 A
V 2 402.337750 B
Ce 1 532.808000 B+
Os 1 420.206000 nan
Co 2 516.755650 D
Cr 1 448.145000 nan
Ar 2 428.289710 B
Am 1 428.926000 nan
Fe 2 439.513700 D+
Th 1 419.893560 nan
Th 1 460.737800 nan
Cr 2 492.024400 nan
Pt 1 445.492940 nan
Fe 1 429.403740 nan
Ti 1 451.802200 C+
Th 1 484.387666 nan
Mo 1 506.463200 B+
Ca 1 558.876000 D
Xe 2 522.690000 nan
W 1 473.695000 nan
Fe 1 559.465490 B
Sc 1 551.496300 nan
Pm 1 455.403000 nan
Nb 1 526.992000 nan
Hf 1 777.439000 nan
W 1 777.252000 nan
Fe 2 656.220480 nan
Te 2 746.875000 nan
Rh 1 744.239000 nan
Th 1 616.226100 nan
Th 1 670.773300 nan
Pm 1 606.906000 nan
I 2 607.498000 nan
Th 2 612.233700 nan
Th 1 634.612081 nan
Hf 1 742.427400 nan
Fe 2 769.926500 B+
Tm 1 678.199800 nan
W 1 766.488000 C
Th 2 821.635200 nan
O 1 844.676000 B
Se 1 818.500000 nan
Cl 1 808.451000 E
