Spektrum Sampel: S1
Segment Size: 10.0 nm

Puncak terpilih:
Fe 2 239.554530 C+
Cr 2 238.196700 nan
Na 2 237.332900 nan
Hf 2 234.332000 nan
Cr 2 239.919600 nan
Fe 2 234.814587 C+
Fe 2 236.713580 nan
W 2 238.852720 nan
Fe 2 249.322359 C+
Ti 1 240.485080 nan
Cr 1 243.498000 nan
W 1 249.071800 nan
Fe 2 241.051891 B+
Fe 2 248.319217 nan
Re 1 240.670000 nan
W 1 247.864400 nan
Pd 2 249.877690 nan
Mo 2 246.181000 nan
Rb 2 251.611300 nan
Fe 2 252.849300 nan
W 2 252.402010 nan
W 2 251.912550 nan
Hg 1 251.437000 nan
Fe 1 259.921700 nan
Fe 2 258.576070 D+
Li 2 250.694000 AAA
Fe 2 256.253531 C+
Fe 2 259.370776 nan
Fe 2 257.604500 nan
Lu 1 254.972000 nan
Mn 2 258.239500 nan
Fe 2 253.883115 nan
V 2 263.114810 nan
Co 2 261.180570 D
Fe 2 262.566685 B+
Mn 2 262.815800 nan
Cs 2 261.375010 nan
Cu 2 260.704100 nan
Cr 2 266.032460 nan
Mg 1 261.751300 nan
Mn 2 266.447000 nan
Tc 2 265.235000 nan
Cr 2 269.265720 nan
Ti 1 279.539900 nan
Hf 1 279.798000 nan
Er 2 275.563000 nan
Ta 2 273.926000 nan
Fe 2 274.932126 B+
Mn 2 279.086800 D
Hf 1 274.660600 nan
Ne 1 276.728000 nan
C 2 272.736000 B
Mn 2 273.702200 D
W 1 271.890600 B
Cr 1 280.265000 nan
W 1 288.160600 nan
Fe 1 285.201460 nan
V 2 283.531390 nan
Rb 2 284.233300 nan
Mn 2 293.677000 nan
Hf 1 297.305800 nan
Pu 2 296.684000 nan
Fe 1 292.900690 B
Mn 2 296.995000 nan
Cr 2 292.380300 nan
W 1 309.267600 nan
Lu 2 302.054000 nan
W 1 308.220000 nan
Fe 1 305.744560 B
W 1 305.893200 nan
Al 1 306.614500 nan
Ir 1 302.582000 nan
V 2 307.292700 nan
C 2 308.790000 C
W 1 307.521800 nan
Hf 1 304.749200 nan
Ho 2 300.810000 nan
Th 2 315.907220 nan
V 2 316.839900 nan
Th 2 317.953100 nan
Ne 2 319.092000 nan
Pt 1 314.165590 C+
Ti 2 326.158450 B+
Th 2 325.275110 nan
Fe 2 323.439600 nan
Zr 2 323.658000 nan
Fe 2 321.713700 nan
Hf 1 323.901000 nan
Th 1 321.393710 nan
Th 2 324.855143 nan
