Spektrum Sampel: S5
Segment Size: 10.0 nm

Puncak terpilih:
Fe 1 404.581220 A
Gd 2 406.359000 nan
Cm 1 404.829000 nan
N 2 404.131000 nan
Th 1 403.058940 nan
Mn 1 403.307000 C+
Ac 1 403.463000 nan
O 2 414.373600 nan
Fe 1 413.197200 nan
Ar 2 412.863990 B
Th 1 419.893560 nan
Ho 1 413.454000 nan
Pt 1 411.867450 C+
Al 2 422.681300 C+
Fe 1 427.176020 A
Os 1 420.206000 nan
Cr 1 423.599780 D
Fe 1 429.403740 nan
Th 1 429.002630 nan
Fe 1 423.360250 B
Cr 1 421.531000 nan
Tb 1 421.916000 nan
Ar 2 421.743060 nan
Nb 1 421.794000 nan
Th 2 438.344830 nan
Nd 2 432.576600 B
Ti 2 430.786570 B+
La 2 430.044000 B
Yb 1 430.597000 nan
Fe 2 439.513700 D+
Fe 1 431.508430 B+
Sr 2 431.274000 nan
Th 2 431.722660 nan
S 2 440.473000 E
W 1 441.507500 nan
Cr 1 448.145000 nan
V 1 450.123850 nan
V 1 495.765000 C+
Th 2 492.052503 nan
Fe 1 493.400490 nan
