Spektrum Sampel: S1
Segment Size: 200.0 nm

Puncak terpilih:
Gd 2 396.826000 nan
C 1 396.140300 nan
Fe 1 393.359900 nan
Ti 2 279.531746 nan
Fe 2 280.260100 nan
U 1 394.382000 nan
Si 1 288.157900 B
Pu 2 309.259000 nan
Mn 2 285.195700 nan
Pt 2 390.557000 nan
Cl 2 382.020000 nan
Be 2 374.930000 nan
W 1 373.475700 nan
Fe 1 382.588090 A
Nd 2 373.710000 B+
Fe 2 251.605700 nan
Pd 1 383.228600 nan
Cr 1 375.804620 B
Sm 2 374.560000 nan
W 1 381.576800 nan
Cr 2 263.104230 nan
Mn 2 302.048500 nan
Ba 2 252.840780 C
Tb 2 337.272000 nan
Mn 2 252.398000 nan
W 1 336.110400 nan
Fe 1 361.876770 B+
Cr 2 344.064240 nan
Sc 1 334.920300 nan
W 1 275.558400 nan
Ho 2 368.516000 nan
Th 2 422.672670 nan
Pr 2 404.570000 nan
Xe 2 588.982000 nan
Tm 1 589.563000 B+
Nd 2 430.777800 B
La 2 438.344000 nan
Th 1 406.350100 nan
In 2 432.568400 nan
Xe 2 440.454000 nan
Hf 1 777.439000 nan
Th 1 656.210550 nan
