Spektrum Sampel: S2
Segment Size: 200.0 nm

Puncak terpilih:
Ca 2 396.847000 C)
Al 1 396.152000 B+)
Ca 2 393.366000 C)
Ca 1 422.673000 B+)
Ce 2 394.389000 B+
Al 1 309.270990 B+)
Si 1 390.552300 B)
Mg 1 383.229960 B+)
V 1 382.029180 C+
V 1 373.742900 C+)
K 1 404.413600 A)
V 1 374.937100 C+)
V 1 375.829600 C+)
Ca 2 315.887000 C)
W 1 404.559400 B)
V 1 382.540240 C)
Fe 1 438.354470 A)
Fe 1 374.556100 A)
Nd 2 430.777800 B
Fe 1 382.782240 A
V 1 383.321640 B)
Fe 1 381.584000 A
V 2 302.064900 D+
Ti 2 337.279270 B+)
Ti 2 336.106600 B+)
K 1 404.720800 B+)
Mn 1 406.353000 C+
Fe 1 361.838600 B+
Ti 2 334.903270 B+
Fe 1 388.628200 A
Fe 1 430.218550 B
Cr 1 432.562620 D
Fe 1 344.060570 B)
V 1 368.433200 B+)
Ti 2 376.132020 A')
V 2 440.466500 D
Fe 1 360.885910 A
Nd 2 404.106000 B+
Ag 1 338.288700 B)
V 1 308.210960 B+
Ba 2 389.177900 B
Fe 1 389.970710 A)
Cr 1 390.290920 D
C 2 431.860000 B+)
V 1 413.199090 B+)
Sr 2 421.552400 AA
Fe 1 388.851320 B+
C 2 387.802800 C+
Fe 1 429.923500 B+
Na 1 414.403000 B)
Nd 2 376.347000 B+
Mg 1 389.557200 B+
Fe 1 385.991110 A
Fe 1 374.336190 A
Ti 1 398.176160 A
Fe 1 371.993450 A)
Fe 1 368.745640 A
V 2 305.706400 C
Sc 2 430.571100 B'
Ti 2 332.293390 B+
Fe 2 316.170000 D
Fe 1 349.057380 B
Ti 2 306.621819 B+
Na 2 316.115400 C+
Nd 2 401.270000 B+
Fe 1 358.119280 A
Fe 2 412.873500 E
Ca 2 317.933000 C
Ti 1 374.105970 A
Ba 2 493.407700 B
Ti 1 375.285880 A
Nd 2 383.654000 B+
Nd 2 403.047000 B+
Fe 1 394.809700 B
O 2 441.490500 B
O 2 385.613400 C+
Fe 1 381.296430 A
Eu 1 305.897500 B+
Ga 1 403.298400 B+
Fe 1 495.759650 B+)
Ti 2 326.158450 B+
Ca 1 428.936000 C+)
Eu 1 316.827800 C+
Fe 1 355.851480 B+
Ti 2 367.967770 B+)
Fe 1 397.661300 C+
Fe 1 389.788960 B
Sc 1 402.321500 B
V 1 427.154830 B+
Ca 1 445.478000 C
V 2 323.449180 D+
Ti 2 307.210711 B+
V 1 428.289800 B+)
V 2 380.620400 D+
Ti 2 356.529390 B+)
Fe 1 323.622210 B
V 1 423.575810 B+)
V 2 372.734103 B+
Mn 1 379.926000 B)
V 2 414.007100 D+
Ti 2 321.705430 B+
Fe 1 420.202890 A)
Fe 1 380.828070 C+
Ti 2 439.503120 D)
Ti 2 325.290570 B+
Fe 1 302.563620 B+
Fe 1 347.545000 B)
O 2 387.243900 C)
Fe 1 355.492430 B+)
Fe 1 338.010980 B
Pt 1 310.002520 B
Mg 2 448.132700 A
Fe 1 360.653320 C+
V 1 323.889400 C+
Fe 2 309.679900 D
V 1 379.494930 B+)
C 2 308.790000 C
Fe 1 413.699740 B)
Fe 1 364.784300 A)
V 1 419.860500 B)
Fe 1 421.936010 B+)
Fe 1 362.146040 B+
Fe 1 421.754530 B+)
Ti 2 324.198253 B+)
Fe 1 367.730590 C+
Na 1 386.550000 D
Mn 1 395.284000 E
Fe 1 358.531870 B+)
Sn 2 304.744000 B+
O 2 398.541800 C)
Ag 2 368.246380 B)
V 2 395.195600 C+)
Nd 2 395.115400 B+
Fe 1 492.050280 B+
Fe 2 414.665100 C
V 1 393.932500 B+)
V 1 386.760210 B+)
Sc 1 405.454400 C
Mn 2 349.752500 B+
Fe 1 324.820400 B
Fe 1 440.144260 C+)
Fe 1 321.160730 C+
Eu 1 321.374500 B+)
Fe 2 307.505000 D+
Ba 2 455.403300 B)
Fe 1 368.936870 C+
Sc 1 421.248100 B
Sc 1 423.359100 B+
Fe 1 442.406800 C)
V 1 320.238190 B+
V 1 327.163390 B+)
Fe 1 321.022890 B+
Sr 1 460.733100 AA
Ti 2 429.409390 D)
V 2 372.213150 C+)
Fe 1 369.302600 D)
V 1 411.825100 B)
Fe 1 405.821700 C+
Fe 1 342.698770 D+
V 1 430.979300 B+
Na 2 306.437500 C
Fe 1 415.024880 D
V 1 440.763350 B+
Fe 2 319.984200 D+
O 2 412.028000 C+
Mn 1 362.379000 E
Co 1 406.637000 C
Ti 2 450.126990 A')
Fe 1 423.707390 B+)
Fe 1 330.597050 B)
Ti 2 300.831000 D)
V 1 420.985240 B+)
Ba 1 452.316700 E
V 2 310.595600 C
C 2 386.218100 C
Fe 1 300.045090 B+
Mo 1 366.934500 B)
Sr 2 441.750000 D)
Cr 1 441.299600 D)
Na 1 441.988500 C+
Fe 1 449.456290 B)
Fe 1 305.526220 B+)
C 2 440.997900 B
Ti 2 310.380288 B+
Ti 1 461.726800 C+
Mg 2 361.378100 C+)
Ti 1 484.087300 C+
Ti 2 311.008010 B+
Ba 2 484.346000 B
Fe 1 354.108310 B+
O 2 432.858600 D
V 1 482.343000 C)
Ti 1 337.757520 C
Y 1 451.256100 B+
Na 2 411.370400 D
Ti 1 372.980650 A
Ar 2 484.780950 B)
Ti 2 301.718349 B+)
Sc 2 319.098400 E
C 2 387.466600 C
Ti 2 442.193840 B
V 2 314.148400 B
Fe 1 354.719400 B
Ti 1 451.802200 C+
S 2 448.342900 D
B 2 322.208000 D)
V 1 332.985320 B+)
Ti 1 411.270800 A
Nd 2 365.315000 C+)
K 1 484.986500 A+
Y 1 438.547400 D+
Ti 2 311.979992 A'
Fe 1 378.787990 A
Cr 1 483.841800 D
Fe 2 482.082780 C+
Nd 2 391.116000 B+
Ti 2 315.419244 B+)
Cu 2 493.797400 D+
Al 2 331.488300 C
Cu 2 450.599820 C
Mn 2 343.897100 C+)
V 1 410.746860 C+)
V 2 420.419800 D
Cr 1 462.274750 D
V 1 367.340270 B+
Ti 1 334.187400 C)
Nd 2 420.559500 B+)
Mn 1 449.008000 B)
Fe 1 460.294070 A
Fe 1 420.669640 D+
V 1 483.242410 B+
Fe 2 448.918500 E
Ca 1 458.587000 C
Cr 1 450.683890 D)
Mn 2 348.867500 A
Mo 1 346.584300 B)
Fe 2 316.640100 D+
Fe 1 483.450650 E
Fe 1 362.705600 D+)
V 1 367.120270 B)
Fe 1 367.080720 C+
Cr 1 451.000500 E
Ti 2 350.033320 B+
Ti 2 332.669710 B+
Fe 1 438.924500 A
Cr 1 482.551700 D)
Nd 2 380.112000 B+
Fe 1 473.584360 D+)
Fe 1 352.616560 B+
Ti 1 335.463360 C
Ti 2 332.684460 B+
Fe 1 493.968640 A)
Cr 1 461.196200 D)
Sc 1 470.931300 B+
V 1 451.554810 B)
Fe 1 439.044770 D)
Ba 1 460.498300 E
V 2 354.519585 B)
Fe 1 341.850690 B)
Ca 1 300.921000 C
Fe 1 326.504670 C+)
Cr 1 481.613900 D
Ti 2 331.802270 B+)
Fe 2 492.392160 C)
V 2 302.388360 C
Y 1 437.932700 B+
Ti 1 492.833700 D
Fe 2 349.347320 D+
Fe 1 360.320330 B+
O 2 410.472310 C+
V 2 311.807200 D)
Fe 1 447.601830 B+
C 2 588.977000 B
S 2 589.591000 D)
Cu 2 518.336640 D+)
Mg 1 517.268430 B+
V 2 656.192900 C
Ca 1 616.217000 C
Mg 1 516.732160 B+
V 1 558.849000 C+
Ca 1 612.222000 C
Sn 1 606.911700 D)
Nd 2 519.262100 B
Cu 2 532.798410 D+)
Y 1 559.412400 B+
Mg 2 634.673700 A)
S 2 532.073200 C+)
V 1 670.807000 C+)
Ti 2 518.868720 D
Fe 1 505.684080 E)
Fe 2 527.003180 B+
V 1 506.411400 C+
Fe 1 522.686200 B
Eu 1 607.558000 B)
O 2 504.197600 C
Ti 1 521.038400 B
Fe 1 506.007870 C+)
Ti 1 503.646400 C+
Ca 1 616.906000 D
V 1 635.557100 C
Sc 1 534.934200 C+
Sc 1 505.448900 C
Sr 1 559.816300 C'
Ti 1 532.392500 C)
Ba 2 614.171300 B)
Fe 2 531.063010 C+)
C 1 503.907000 C
Cu 2 654.163700 D+)
Ca 1 649.378000 D)
Sc 1 508.156100 B+)
Fe 2 636.247000 C+
Fe 1 519.494140 A)
C 1 658.627300 D)
Cu 2 777.319600 C
Fe 2 746.893810 C+
N 1 744.229000 B+
S 1 744.335000 E
Br 1 844.655100 D
O 1 844.676000 B
Cl 1 819.442000 E
Cl 1 819.442000 E
