Spektrum Sampel: S3
Segment Size: 10.0 nm

Puncak terpilih:
Al 1 309.270990 B+)
Fe 1 302.049050 B)
Al 1 308.215290 B+)
Ti 2 305.739290 B+)
V 2 306.710430 A)
Ti 2 306.621819 B+)
Fe 1 305.908560 C+)
Fe 1 302.563620 B+)
Fe 1 307.248700 nan)
Ti 2 307.297005 B+)
Ti 2 307.522389 B+)
Sc 1 309.474000 nan
Fe 1 304.760430 A)
Ti 2 309.718193 A')
V 2 306.446020 D)
Fe 1 300.813800 A)
Fe 1 300.094760 A)
V 1 306.372400 B+)
Ti 2 308.802562 B+)
Fe 1 300.909290 B+)
Fe 1 309.526670 C+)
Mn 2 301.855200 nan)
Fe 1 301.762700 A)
Fe 1 301.813480 nan)
Fe 1 306.817330 B+)
Fe 1 302.403240 A)
V 2 306.446020 D)
Fe 1 302.403240 A)
Fe 1 300.728220 A)
Fe 1 305.526220 B+)
V 1 305.039100 D+)
Ti 2 307.123869 A')
V 2 305.388640 B)
V 2 301.614090 B+)
Al 2 308.851600 B)
Mo 1 306.951100 B)
V 2 306.269340 C)
V 2 301.677980 B)
Fe 1 309.818910 B)
V 2 301.201610 C)
Be 2 304.652400 A)
V 2 305.338230 A)
Fe 1 301.148080 B+)
Mo 1 306.158800 B)
Fe 2 302.720100 D+)
Fe 2 309.846600 D+)
Fe 2 301.020400 D+)
V 2 306.907750 D+)
Fe 1 308.374070 C+)
V 1 300.265390 C+)
Fe 1 304.507820 B)
V 2 301.299630 D+)
Na 2 307.082900 C)
V 2 307.009180 B)
Rb 1 306.049100 B)
Fe 1 304.558850 C+)
Fe 1 306.098310 B)
Fe 2 305.168300 D+)
V 2 305.128500 C)
Fe 1 301.417320 B)
V 2 301.482100 B)
Ti 2 304.384690 B+)
Rb 1 301.502900 C+)
Ca 2 315.887000 C)
Fe 1 316.065720 B+)
Fe 1 316.137080 C+)
Ca 2 317.933000 C)
Ti 2 316.176918 B+)
Ti 2 316.851830 B+)
Li 2 319.943000 AA)
Li 2 319.933000 AAA)
Ti 2 311.766630 A')
Ti 2 315.566794 B+)
Ti 2 310.380288 B+)
Ti 2 311.204933 B+)
Ti 2 311.979992 A')
Mn 2 310.588300 C)
Fe 2 311.429540 D+)
Ti 2 319.087280 B+)
Fe 1 311.663130 C)
V 2 310.936260 B)
Fe 1 315.449640 B)
Ti 2 311.067220 A')
Ti 2 316.525830 C+')
Fe 2 310.656490 C+)
V 2 311.123700 D)
